month,day,hour,usage
2,25,21,0.971
2,25,22,0.556
2,25,23,0.214
2,26,0,0.209
2,26,1,0.214
2,26,2,0.231
2,26,3,0.216
2,26,4,0.205
2,26,5,0.199
2,26,6,0.217
2,26,7,0.539
2,26,8,0.303
2,26,9,0.2
2,26,10,0.196
2,26,11,0.198
2,26,12,0.72
2,26,13,1.598
2,26,14,0.314
2,26,15,0.78
2,26,16,0.682
2,26,17,0.622
2,26,18,0.506
2,26,19,0.918
2,26,20,0.84
2,26,21,0.485
2,26,22,1.087
2,26,23,0.653
2,27,0,0.218
2,27,1,0.751
2,27,2,3.53
2,27,3,3.52
2,27,4,3.591
2,27,5,1.72
2,27,6,0.684
2,27,7,0.74
2,27,8,0.438
2,27,9,0.235
2,27,10,0.214
2,27,11,0.212
2,27,12,0.253
2,27,13,0.366
2,27,14,0.207
2,27,15,0.204
2,27,16,0.282
2,27,17,0.496
2,27,18,0.468
2,27,19,0.666
2,27,20,0.531
2,27,21,0.482
2,27,22,0.613
2,27,23,0.458
2,28,0,0.24
